question,answer,crop,state,district,category
asking baout the treatment of mastitis of a buffalo.,suggested to apply the mastilep cream over udder twice a day after cleaning.,,,,
asking about treatment of bloat in case of cow.,suggested to administer afanil @ 100 ml and repeat the same dose after 6 hours.,,,,
asking about electrification in agricultural work,--visit district agriculture office and met agriculture development officer,,,,
query regarding   local,"capital  investment/ cost of ( pullet, feed medicine & vaccine , electricity & water supply, utensil & appliance, ,management insurance premium  etc ) should be consider prior to established a local chicken farm",,,,
asking about the recommended fertilizer dose for coconut,given in details,,,,
asking about the treatment of white diarrhoea in a poultry farm.,suggested to apply the lixen pow.@ 1 gm per lit of water and sulcoprim pow.@ 1 gm/lit of water.,,,,
asking about the control of leaf eating cater pillar  in citrus,suggested him to spray malathion 50 ec @ 2ml/liter of water,,,,
asking about  treatment of pox in poultry.,suggested to administer lixen powder twice daily for 5 days.,,,,
query regarding fish pond management,"advised him regarding, stocking, feedding etc",,,,
asking about the fertilizer doses,explain in details,,,,
asking about the tea cultivation practices,suggest him the recommanded cultivation practices,,,,
control of aphids in cowpea,spray rogor @ 2 ml per liter of water,,,,
asking about crop loan,told him to contact nationalized bank,,,,
asking about good boro rice varity,"advice to sowing seeds of joymoti,bishnuprasad,jyotiprasad etc",,,,
problem of pulp weevil in mango.,advised him to apply malathion 50 ec @ 2 ml / liter of water.,,,,
asking about the jute cultivation practices,explain in details,,,,
asking about fertilizer dose,"apply urea 12 kg/bigha, ssp 24 kg/bigha and mop 6 kg /bigha
seed treatment with bavistin @ 3 g/kg of seed",,,,
asking about nutrient application,"recommended to apply borux @ 50gm
spray vitamin  mahaphal @ 2ml/l water at 20 days interval",,,,
query regarding pmkisan.,"9th installment payment stoped by state on request of districts. so, please visit your nearest agriculture office for further enquiry.",,,,
asking for use of growth promoter,recommended him to spray multiplex paddy special @ 1 teaspoon per 2 litre of water,,,,
asking about  the control measure on downy mildew on bottle gourd,suggested him to spray bavistin @2 gm/lit of water,,,,
asking about the treatment of mastitis of a cow.,suggested to apply mastilep cream  over the udder twice  a day.,,,,
asking about application of nutrients.,"spray npk 19 all @ 5gm /l water, 3 spray at 3 days interval.",,,,
asking for spacing of coconut,recommended him 7.5 meter x 7.5 meter (spacing of coconut),,,,
control of stem borer in rice,recommended him to spray tricel 20 ec @ 2 ml/lit of water,,,,
query regarding control measures of fungal diseases in cowpea,suggested redomil @ 2ml per litr of water,,,,
asking about the control measure for anthracknose in chilli.,"advised to spray blitox 50 @ 2 gram/lit of water,3 sprays at 5-6 days interval.",,,,
asking about the fertilizer doses in pointed gourd,"suggested him to apply urea-12kg, ssp-30kg, mop-9kg per bigha",,,,
asking about the control of root rot in peas,told him to spray roshan plus @ 2ml / l of water,,,,
asking about the treatment of wound in cow.,suggested to clean the wound with normal saline and then spray topicure spray over the affected area twice daily.,,,,
query regarding restless of a cow,observe the symptom of heat & go for a.i,,,,
query regarding liver tonic for pig.,liv-52.,,,,
agriculture related problem.,transfer to agriculture expert.,,,,
asking about the management practice of cow,transfer to the expert.,,,,
asking about the cultivation of chilli.,given in details,,,,
asking about water quality management of fish pond,apply 'lime' @ 5 kg per bigha of water area,,,,
asking about micro nutrient  spray,recommended him to apply  tracel or mahafal @ 2ml/lit of water spray 2 time at 15 days interval,,,,
asked about carp culture,given him in details.,,,,
query regarding citrus trunk borer,advised to apply phosphomidon 3ml/lit  in the hole .. apply urea-ssp-mop @ 750-1000-500 gm/plant by digiging a ring 60 cm apart from the tree,,,,
asking about the proper planting time of coconut.,suggested that planting time is-march-april and september-october.,,,,
asking about the control measure against bacterial wilt in tomato.,advised him to drench the soil with streptomycin or agrimycin @ 1 gm. in 10 litres of water.,,,,
query regarding a cow showing repaid breeding,"told him to wash the uterus with c-flox solution , inject fortious 30 ml & anistamin 10 ml as directed, inject pepsid 10 ml as directed / provive minerax mixture  kg @ 15-20 gm orally daily & then go for artificial insemination { gynase injection -sos ]. for consultation visit nearby veterinary doctor or contact - dr. f.u. ali ahmed - 9436227984 of krishi vigyan kendra.",,,,
asking about treatment for anorexia and loss of body balance or coordination of gait.,"recommended to continue neurokind, calcimust and other prescribed medicine and additionally give dns oo rl @ 250 ml intravenously at time and reat after 12 hour, give vimeral @ 10 ml with feed or water or live 52 @ 1 tab twice daily once the sow starts eating and minerax powder @ 20 gram twice daily.",,,,
asking for control of fungal  disease,adviced to apply carbandazim @ 2 ml/litre of water,,,,
asking about kisan credit card,told him to approach the respective branch for further enquiry,,,,
asking about treatment of weakness in calf.,suggested to administer agrimin forte @ 5 gm along with concentrate feed . along with that administer meboliv @ 5 ml once daily.,,,,
asking for seed rate of toria,recommended him 1.3 kg per bigha,,,,
asking about the control measure of late blight disease attack in potato.,suggested to apply dithane m-45 @ 2 gram / litre of water.,,,,
asking about package of practice in okra,"suggested varieties like pusa nasur, aau-j-1 and explained in details about the package of practice for the same.",,,,
asking about the kissan call center.,answer given in details(solve the proble about agri.vety. and fishery),,,,
query regarding  dermatitis,antibiotic steroid   topicure for topical application,,,,
diseases in onion,adviced to apply indofil m 45 @ 2 gm per liter of water,,,,
asking to control cut worms in potato,"suggested him to apply malathion 5% dust @ 2kg/bigha to control red ants, cut worms etc. apply borax @ 20gm/tree or spray 3gm/lit of water",,,,
asking about the address of sivsagar kvk,"dr. phuleswar nath, kvk sivasagar, aau, p.o nazira district-sivasagar (assam) pin- 785685",,,,
query regarding fertilizer dose of potato,advised to apply urea-ssp-mop @ 19-45-12 kg/bigha,,,,
asking about the nutrient management,spray tracel-2 @ 2ml/litres of water,,,,
asking about to control of flower dropping in chilli.,advised him to apply planofix @ 1 ml / 5 litre of water,,,,
asked about carp culture,advised him to apply lime @3kg /toximer medicine,,,,
asking about control of  fruit borer in tomato,advice to spray malathion 50 ec @ 2ml/l of water,,,,
asking about some cauliflower variety recommended by assam agricultural university.,"suggested to grow variety like-pusa katki,pusa deepali,improved japanese,pusa snow ball,pusa synthetic,himani etc.",,,,
qury related to magur breeding,explained in detail,,,,
asking that he is rearing 3-days old 1000 broiler chicks. but 40 no.s has died. suspected to be e. coli.,"tr.: 1. tetracyclin powder 100gm pkt. @ 2 gm in 1 lit. water daily for 3-4 days, 2. vimeral 120 ml @ 20 ml orally daily for 4-5 days.",,,,
"asking about fertilizer dose, spacing and sowing time","sowing time: feb- mar
fertilizer dose: urea @14kg, ssp@40kg and mop@20kg per bigha
spacing: 2m x 1m (row to row x plant to plant)",,,,
asking about the nursery technique,expert not there,,,,
asking agriculture question.,forwarded to the agriculture expert.,,,,
asking cultural practices,explain in details,,,,
asking about insect problem in potato.,apply malathion 25 ec @ 2 ml per liter of water at an interval of 3 days for 3 times.,,,,
asking about the control measure to control fruit borer pest in brinjal.,suggested to spray malathion 50ec@2 mililiter/liter of water followed by waiting period for 6-7 days.,,,,
query regarding lameness of some duck,inject neuroxin  b12 as dirtected /  tab  / meriquin as directed,,,,
asked about fungal disease in lemon and less production of lemon than previous times,suggested to spray saaf fungicide 2ml/litre water 3 times at an interval of 5 days and spray mahaphal at 2ml/litre water,,,,
asking about the micronutrient used in lemon,suggest him to apply tracel 2 @ 2gm/litre of water.,,,,
asking about the control measure of micro-plasma in arecanut.,suggested to apply phorate @ 2gm/lit of water.,,,,
query regarding fmd,"advised him to wash the foot & mouth with weak potash solution. inject  fortius  30 ml(,4 ml for large animal / 2-2.5 ml for small animal)  anistamin 10  ml as directed . dressel spray in the affected area  on leg & cleft of hoof. vaccinate the rest of the animal with fmd vaccine",,,,
respiratory infection,give duraprim in @ 10 ml i/m ly twice daily for 3 days 2. melonex inj @ 6 ml daily for 3 days,,,,
asking about post harvest storage of potato,explianed him in details,,,,
asking for the name of vitamin in bhindi,recommended to spray tracel ( multiplex company) @  2 gram per litre of water 3 times at an interval of 5 days,,,,
asking about the vaccination schedule against viral disease.,explain in details.,,,,
asking about the nutrition of bottle gourd,recommended to spray mahafal @ 2 ml/lit of water,,,,
asking about the recommended fertilizer dose for potato,"suggested that recommended fertilizer dose is like-urea@19 kilogram/bigha,ssp@45 kilogram/bigha,mop@12 kilogram/bigha,fym@2 quintal/bigha.half dose of urea and full doses of ssp and mop,fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting.",,,,
asking about marigold varieties,told him pusa narengi ganda.pusa phula ganda and siracole,,,,
bunchy top problem in banana,spray rogor @ 2ml per litre of water,,,,
query regardingdecrease milk production [ agalactiae ] of a local cow,"--examine the cow for mastitis [ since it producing 2 lits of milk ]  - in such case one should  follow the the follow  the following  medicine -- moxel 2- g ,injection for 3 days , predsnisolone  acetate 10 ml i/ m ly , pendistrin -sh- for intra mammary infusion  mastilep for topical 10application , the floor of the shed should be properly cleaned with disinfectant , rest --milk -o - more orally for15-20 days , preferably with boiled papaya & bottle guord",,,,
query regarding control measures of fruit fly in bottle gourd,recommended to spray malathion 50 ec @ 2 ml per litr of water,,,,
asking about the chillies cultivation,explain in  details about the chillies cultivation along with fertilizer dose,,,,
asking about control of termites,recommended him to apply tricel ( chloropyriphos composition) @ 2ml/lit of water spray thrice at 3 days interval,,,,
regarding availability of rice varieties from kamrup,visit the krishi vigyan kendra at kahikuchi for further enquiry,,,,
asking about treatment of soft shell egg.,suggested to administer calcium tonic eg.ostovet.,,,,
query regarding application of vitamin in tea,recommended to spray mahafal @ 2ml per litr of water,,,,
asking for cultivation practices of rice,explained him in details,,,,
asking about some variety of olitorius.,"advised him to select some variety of olitorius like jro-524(navin),jro-7835(basudev),bohagi etc",,,,
fungal wilt problem in potato,soil drenching with captaf @ 3gm/litre of water,,,,
asking about the production in chillis,suggested him to spray tracel 2@ 2ml/l of water,,,,
asking about control measure of phytophthora leaf rot disease in betel vine.,suggested to apply 0.1% bordeaux mixture at 12 days interval.,,,,
aasking about the dfertilizer requirement in garlic,"suggested him to apply urea-4kg, ssp-30kg, mop-11kg per bigha",,,,
asked about carp disease,advised him not to use cowdung,,,,
asking about the variety of garlic.,"advised him to select shilong type,tall clone etc.",,,,
asked about prevention of rats.,told him to apply zinc phosphide in 1 tablet mixed with dry fish and keep near the entry hole of the rats or the place where the rats are seen.,,,,
micronutrient deficiency,spray tracel -2 @2 ml  mixed with one litre of water,,,,
asking about the atma scheme.,given in details about the scheme.,,,,
asking for crop growth,spray miraculam @ 2 ml per litre of water,,,,
asking about the growth regulator of mustard,apply vipul @1ml/litres of water,,,,
asking about the pond management,explained in details,,,,
asking about the control measure for fruit cracking in mango.,"advised to spray planofix @ 1 ml/4.5 lit water,2-3 sprays at 15 dys interval.also apply borax 30 gram at the root zone.",,,,
query regarding pm kisan,-- told him to take the information from the district agriculture office,,,,
asking about the nutrient management in citrus,suggested him to spray planofix @2ml/5 lit of water,,,,
asking about the control measure to control immature fruit drop problem in arecanut at the age of 5 years,"suggested to apply recommended fertilizer of urea @ 200 gram/plant,ssp@250 gram/plant,mop@233 gram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk",,,,
pest infestation,apply rocket @ 2 ml/*litre of water,,,,
asking about the rhizome rot of ginger,recommended him to apply indofil m 45 @2gm/lt of water,,,,
asking for kisan credit card,recommended him to contact with nearest natinalised bank,,,,
query regarding freqent heart beat ( dyspnoea)  of a pig,seperate the the pig from the herd check the temperature    it may be due to agressive nature or after exercise  of the pig - if it show high rise of temperature inject melonex plus 30 ml as directed feroliv 500 ml as directed,,,,
asking about the control of leaf spot in betelvine,suggested him to spray bavistin @ 2gm/l of water,,,,
control measures of leaf curl disease,advice to spray rogor @ 2 ml/l water,,,,
asking about the sowing time of onion,suggest him to sow in the month of november december,,,,
asking about the treatment of fever of a cow.,suggested to administer paralgin-np bolus @ 1 bolus/100kg body wt. daily for three consecutive days.,,,,
asking control of flower drop in peas,apply tracel @ 2 gram per litre of water,,,,
asking about the seed treatment of treatment,suggest him to apply bavistin @2g /lt of water,,,,
farmer asked a query regarding control of fungal infection bottle gourd.,"spray carboxin (2g/lit of water) @ 3 spray at 5 days interval in the evening time in the absence of rainfall. after completion of 3 spray of borax, continue one vitamin like- mohaphol/sagorika/biovita 2 ml/liter of water @ 15 days interval up to the end of the season in the evening time in the absence of rain.",,,,
package of practice,explained in details,,,,
asking for control of leaf eating caterpilar,recommended him to spray profex super @ 2 ml per litre of water,,,,
asking for vet. query,forwarded,,,,
disease in maize,adviced to apply bavistin @ 2 gm per liter of water,,,,
want to know about the dose of indophyl m 45 per liter of water,adviced to apply indophyl m 45 @ 2 gm per liter of water,,,,
wanted to register his name in kcc,registered,,,,
asking about the fruit flies in bottle gourd,told him to spray classic 20 ec @ 2ml / l of water,,,,
problem of aphids in pumpkin.,advised him to apply rogor 35 ec @ 2 ml / litre of water.,,,,
asking for the control measure against rice stem borer in paddy.,'ekalux 25 ec' solution @ 3 miili litres per litre of water has been suggested to spray.,,,,
rice stem borer,advised to spray tricel-2 or classic -2 @ 2 ml/ litre water,,,,
asking for vermicompost preperation,suggested properly,,,,
control of fruit borer in french bean,spray metador @ 2 ml per liter of water,,,,
asking about the potato sotarage method,suggest him to sotored potato mi with malathion 5% dust @ 100 gram per quintal of potato,,,,
control measure of leafe curling,spary rogor 35ec @ 2ml/ltr water,,,,
query regarding abroiler & a layer farm & their economic returns,"in broiler farm investment & return from the frm & farm product is quick [ within 40 days ] i.e the economic return [ gross profit & net profit ]  can be obtain by the farmer within a short period of time , but incase of layer farm - there is no gain from the farm upto 6 month , [ there is only input cost ,like -- cost of pullet , cost of feed . cost of medicine & vaccine & labour cost etc ] the benefit or return can be expect from the layer farm can be obtain from 6 month - when the layer bird come to sexual maturity , i.e when it comes to production , after that again a huge profit can be obtain by selling the adult bird, ,when there is fall of production [ benefit may also obtained by selling the litter material in decompsed form ]",,,,
want to know vitamin use in tomato,recommended to spray bipul @ 2ml/liter of water,,,,
asking about fertilizer dose of coconut,"urea 560 gm,ssp 320 gm, mop 1200 gm,25 gm borax",,,,
shoot borer problem in citrus,spray nuvacron/dimecron @ 1ml/litre of water,,,,
asking for artificial breeding of cow,advised him to visit nearest vety. dispencery and told him regarding the benefits of artificial breeding,,,,
query regarding paddy cultivation,explained details,,,,
want to know regarding pre-mature fruit fall in coconut,advice to apply borax 25 g per plant of coconut,,,,
asking about vaccination of animal,suggested him to consult dist. kvk,,,,
asking how to increase milk of a cow.,suggested him to administer ostovet @100ml daily .along with that administer agrimin forte @40gm twice daily .,,,,
asking about the cultural practices of banana cultivation,"advised him to select suitable varieties like cavendish, robusta etc and to dig the pit before one month of planting and size of the pit should be 45 cubic cm. apply fertilizers @ urea 120 gm, ssp 110 gm after 3 months of planting and again apply same amount of urea , ssp and 550 gm mop after 5 months of planting.",,,,
asking about fertilizer dose of brinjal,"advice to apply 15kg urea, 42kg ssp & 11kg mop/bigha",,,,
asking about fusarium wilt problem in chilli,suggested to soil drenching with blitox 50 @ 1gm/litre of water,,,,
query regarding herbicide application in paddy field,advised to manual eradication,,,,
asking about the veterinary problem.,forwarded to the veterinary doctor.,,,,
asking about the chillies whitefly,application of rogor @ 2 ml per litre of water,,,,
pest attack in rice plant,apply nubacron 40ec@2ml/l water,,,,
asking about the source of information of pure goat breed.,"suggested to contact the farm manager, goat research farm, burnihat.",,,,
asking about liming in pond,advice him to apply lime @ 5 kg/bighas of water spread area,,,,
asking about the variety for pumpkin,"suggested him to arka surjya mukhi, arka chandan",,,,
asking about cultural practices of arecanut,"recommended to farmer
seedling- select the healthy disease free seedlings from nursery
fertilizer- urea- 100 g ssp- 150 g mop- 90 g borax - 10 g per seedling
planting distance- 2.75 m x 2.75 m",,,,
asking for fert dose for rainfed mustard,"recommended him to apply 8 kg urea, 12 kg dap, 3.5 kg mop and 1.3 kg borax",,,,
asking about the pest control in chilli,apply rocket @ 2ml/litres of water,,,,
asking about the cultivation practices of tea,explain details,,,,
asking about growth promoter,advice to apply trasel 2 @ 2ml / litre,,,,
asking about the control measure to control leaf curl disease in chilli.,suggested to spray rogor 40ec@2mililiter/liter of water.,,,,
asking for control of leaf eating caterpillar,recommended him to spray malathion 50 ec @ 2 ml per litre of water,,,,
asking about top dressing of urea in pea,recommended to spray urea @ 3 kg per bigha as a top dress,,,,
asking about leaf spot disease,spray friponil 5% @1ml/l water,,,,
fusarium wilt,spray blitox 50 @ 1 ml / litre water,,,,
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water,,,,
0asking for brown spots in rice seed snd leaves,--spray metominosrobin or propiconazole @ 2 ml/l of water @ 3 sprayt @ 5 days of interval,,,,
regarding pin head disease in fish,recomended to supply adequate supplementary feed and maintain the optimum stocking density in the pond,,,,
asking about the fertilizer dose in mustard.,"advised him to .apply 9 kg urea,33 kg ssp,9 kg mop & 1.5 kg borax at the time of land preparation & 9 kg urea at the time of flowering",,,,
asking about the varieties name of tomato,"suggested him to use pussa, arka abha, punjab suhara",,,,
asking about the control of bacterial wilt in brinjal,told him to spray cristocycline @ 1gm / 10 l of water,,,,
asking about the pest control in ridge gourd,apply decis @ 1ml/litres of water,,,,
asking about fertilizer dose in coconut,suggested him the recomanded dose of fertilizer,,,,
asking about fertilizer dose in arecanut,"suggested to apply urea,ssp and mop @ 100gm/plant in ring method for 3 year old plant",,,,
asked about control of death of fish due to poor water quality,পটাশ ক্রিস্টাল (potassium permanganate) ২৬  গ্রাম/লিটাৰ আৰু চুন ২ কিলোগ্রাম পানিতে মিহলাই প্রয়ুগ কৰিব.,,,,
query regarding worm in chilly plant,recommanded to spray malathion 50 ec  2 ml/ lits of water,,,,
asking about seedling age for transplanting to main field,advice to tranplant seedlings of 25 days,,,,
query regarding antracnoose of chilly,advised to apply blitox @ 2gm/lit,,,,
termite problem in cabbage field,spray tricel 20ec @ 2ml/litre of water in the soil,,,,
asking about the information of a.i. of a cow.,suggested to contact the nearest vety. doctor.,,,,
asking about duck plague,"advised him to give tetracycline powder @ 20 gm mixed with feed for 5 birds orally daily for 5 days, diarok powder @ 1 packt orally twice daily for 3 days",,,,
asking about the training programme for mushroom contact kvk marigaon,contact kvk marigaon,,,,
